Ticker,MCap_Cr,ROE_Latest,ROCE_Latest,OPM_Latest,Revenue_CAGR_AllYears,PAT_CAGR_AllYears
RELIANCE,1749748.7,9.14,,9.98,12.5,-12.6
HDFCBANK,1189383.19,13.82,,40.54,-1.8,7.5
BHARTIARTL,1110170.72,19.36,,32.23,15.7,-34.0
ICICIBANK,961542.62,16.36,,33.29,66.9,8.4
SBIN,938892.33,15.48,,28.96,7.1,-3.1
TCS,782013.41,48.4,,25.29,9.6,12.2
BAJFINANCE,570987.59,17.91,,60.65,26.8,21.4
LT,557049.34,16.95,,10.71,11.7,-34.5
HINDUNILVR,509579.36,21.6,,21.14,4.3,21.4
LICI,505177.55,42.36,,5.5,14.8,55.5
INFY,451986.27,31.44,,20.93,6.6,11.8
SUNPHARMA,433727.76,14.72,,18.83,12.8,25.6
ADANIPOWER,430183.7,20.91,,25.39,-0.1,88.8
AXISBANK,421843.38,13.15,,39.19,-11.2,6.4
MARUTI,420230.46,14.43,,8.41,28.2,-6.4
ADANIPORTS,417684.73,15.59,,41.18,26.5,3.6
KOTAKBANK,401140.93,11.39,,35.12,-11.0,9.8
ADANIENT,400839.91,13.66,,5.53,20.3,
TITAN,371139.73,37.13,,6.28,80.5,35.1
M&M,365379.92,18.75,,16.4,30.9,44.8
ITC,357215.16,29.34,,36.48,-5.0,-72.7
NTPC,343165.03,13.69,,18.43,8.0,-1.6
ULTRACEMCO,327028.39,10.59,,17.02,3.0,
JSWSTEEL,316721.7,27.26,,12.67,14.2,991.8
ONGC,309726.47,12.7,,9.21,1.9,47.8
HCLTECH,300231.87,23.36,,16.49,5.3,-0.2
BEL,297142.5,27.56,,27.47,11.7,4.5
BAJAJ-AUTO,281031.16,28.05,,18.64,48.8,103.1
HAL,280370.53,23.98,,26.95,1.8,5.5
COALINDIA,273317.0,28.12,,20.92,16.2,12.9
BAJAJFINSV,270004.02,14.6,,37.21,5.3,5.7
NESTLEIND,265278.19,76.34,,22.96,23.0,27.4
POWERGRID,264881.18,16.49,,49.47,-5.0,9.6
ASIANPAINT,263377.91,20.89,,16.14,10.6,69.2
DMART,260474.64,12.94,,5.24,18.9,19.6
TATASTEEL,246768.0,11.16,,9.7,12.5,125.2
ADANIGREEN,244720.97,7.58,,59.69,14.3,209.8
HINDZINC,236575.63,76.94,,52.46,40.8,67.5
HINDALCO,228445.39,10.29,,9.98,20.4,-50.9
SHRIRAMFIN,224691.64,16.38,,70.21,16.7,40.9
ETERNAL,224147.09,1.19,,0.1,196.5,375.0
GRASIM,210606.57,6.29,,17.29,10.5,60.8
EICHERMOT,200712.6,23.77,,21.09,19.1,11.5
IOC,199024.74,20.97,,9.24,6.7,78.1
WIPRO,188986.81,15.44,,17.18,7.7,-1.6
INDIGO,182104.1,,,15.76,6.2,-77.6
ADANIENSOL,178943.07,9.66,,22.23,16.8,3.5
VBL,176623.5,,,18.49,18.1,20.0
DIVISLAB,176218.05,16.19,,28.75,9.5,13.6
SBILIFE,171141.06,13.7,,21.17,-82.2,-1.1
BSE,164120.83,36.0,,67.7,105.1,64.0
HYUNDAI,161703.8,29.92,,7.31,4.8,-22.2
IDEA,161431.12,,,-5.82,3.2,
ICICIAMC,160080.45,85.8,,73.06,8.2,10.4
TVSMOTOR,157432.95,31.62,,12.48,31.3,19.1
PIDILITIND,156279.4,23.52,,20.53,14.1,37.0
CUMMINSIND,155827.97,29.45,,24.44,21.9,22.7
JIOFIN,155761.51,1.21,,43.08,39.4,-14.0
SOLARINDS,155127.11,31.33,,26.17,40.9,70.0
TORNTPHARM,154710.18,16.99,,20.2,41.8,-21.7
POWERINDIA,152994.64,21.04,,15.28,46.2,71.8
MOTHERSON,151017.84,10.11,,7.13,14.9,43.0
TRENT,146921.49,27.13,,11.12,19.2,25.8
DLF,145313.17,10.03,,19.98,-42.0,-1.1
CGPOWER,144022.06,19.56,,12.12,25.0,30.5
POLYCAB,143835.96,24.58,,12.95,26.9,8.0
TMCV,143727.54,26.05,,8.49,-37.8,-25.3
TMPV,143614.99,-1.12,,8.43,-11.8,-32.9
ABB,143472.56,,,11.5,0.8,276.0
BANKBARODA,142083.18,12.74,,38.45,-7.6,7.1
PFC,138950.78,20.47,,93.32,-15.4,10.8
TATACAP,137485.26,12.01,,55.46,7.0,52.2
CHOLAFIN,133678.72,19.33,,56.11,24.1,29.1
BHEL,131883.15,6.29,,13.53,36.9,156.4
UNIONBANK,129809.46,15.71,,,,
BPCL,129181.61,28.47,,8.16,6.7,28.0
ENRIN,128449.11,,,19.36,27.4,52.2
SIEMENS,127120.78,,,8.02,14.6,-36.4
TECHM,126601.72,16.61,,13.83,12.6,15.9
GVT&D,126551.0,55.26,,26.44,42.0,88.7
TATAPOWER,125752.59,11.34,,11.56,-12.8,-4.6
IRFC,125313.9,12.81,,96.28,0.5,0.0
BRITANNIA,124420.52,53.31,,16.27,7.9,21.1
GROWW,123193.81,28.72,,61.3,83.5,111.8
PNB,122836.58,12.98,,29.4,15.2,1.9
APOLLOHOSP,122188.2,21.5,,11.91,18.1,35.6
MUTHOOTFIN,122134.74,30.41,,78.15,53.7,126.7
VEDL,120912.19,20.4,,26.24,-41.3,92.2
HDFCLIFE,119811.83,11.28,,2.69,-17.7,4.1
CANBK,119433.27,15.94,,-32.21,-46.7,-9.8
JINDALSTEL,116858.51,6.77,,12.81,23.0,
BOSCHLTD,115211.76,19.35,,11.96,18.0,3.0
LTM,113980.45,21.29,,7.61,6.1,23.4
INDIANB,113885.8,15.44,,46.92,1.5,6.4
